B_age,B_current_lose_streak,B_current_win_streak,B_Height_cms,B_longest_win_streak,B_losses,B_Reach_cms,B_Stance,B_total_rounds_fought,B_total_title_bouts,B_Weight_lbs,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,R_age,R_current_lose_streak,R_current_win_streak,R_Height_cms,R_longest_win_streak,R_losses,R_Reach_cms,R_Stance,R_total_rounds_fought,R_total_title_bouts,R_Weight_lbs,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,title_bout,weight_class,Winner
0.5,0,0.125,0.565217391,0.125,0.375,0.730769231,Southpaw,0.244680851,0,0.466666667,0,0,0,0.090909091,0.357142857,0,0.260869565,0.555555556,0,0.1875,0.52173913,0.1875,0.117647059,0.625,Orthodox,0.125,0,0.366666667,0,0,0.3,0,0,0,0.130434783,FALSE,Middleweight,Blue
0.535714286,0.2,0,0.347826087,0.0625,0.1875,0.423076923,Orthodox,0.074468085,0,0.133333333,0,0.2,0,0.090909091,0,0,0.086956522,0.37037037,0.25,0,0.217391304,0.0625,0.058823529,0.375,Orthodox,0.068181818,0,0.133333333,0,0.2,0,0,0,0,0.043478261,FALSE,Bantamweight,Red
0.321428571,0,0.125,0.173913043,0.1875,0.0625,0.192307692,Orthodox,0.127659574,0,0,0,0.2,0.1,0,0.214285714,0,0.217391304,0.592592593,0.5,0,0.217391304,0.25,0.176470588,0.166666667,Orthodox,0.238636364,0,0,0,0,0.3,0,0.071428571,0,0.173913043,FALSE,WomenStrawweight,Blue
0.392857143,0.2,0,0.434782609,0,0.0625,0.461538462,Southpaw,0.031914894,0,0.266666667,0,0,0,0,0,0,0,0.666666667,0,0.0625,0.391304348,0.1875,0.235294118,0.375,Orthodox,0.340909091,0,0.266666667,0,0,0.4,0.090909091,0.071428571,0.5,0.304347826,FALSE,Lightweight,Blue
0.321428571,0.2,0,0.652173913,0.3125,0.1875,0.884615385,Orthodox,0.29787234,0,0.466666667,0,0.4,0.1,0.272727273,0.142857143,0,0.347826087,0.296296296,0,0.0625,0.52173913,0.25,0.176470588,0.583333333,Southpaw,0.284090909,0,0.466666667,0,0,0.4,0,0.142857143,0,0.260869565,FALSE,Middleweight,Red
0.285714286,0,0.25,0.391304348,0.25,0,0.5,Orthodox,0.085106383,0,0.2,0,0,0.2,0.181818182,0,0,0.173913043,0.296296296,0,0.4375,0.347826087,0.4375,0,0.416666667,Southpaw,0.238636364,0,0.2,0,0.2,0.4,0,0.142857143,0,0.304347826,FALSE,Featherweight,Red
0.535714286,0,0.1875,0.565217391,0.1875,0.0625,0.615384615,Southpaw,0.095744681,0,0.366666667,0,0,0.1,0.090909091,0.071428571,0,0.130434783,0.37037037,0,0.125,0.434782609,0.125,0.411764706,0.458333333,Orthodox,0.375,0,0.366666667,0,0.2,0.2,0.363636364,0,0,0.304347826,FALSE,Welterweight,Blue
0.285714286,0,0.125,0.391304348,0.125,0,0.461538462,Orthodox,0.042553191,0,0.266666667,0,0,0.1,0,0.071428571,0,0.086956522,0.666666667,0,0.125,0.347826087,0.4375,0.882352941,0.458333333,Southpaw,0.909090909,0,0.266666667,0,0.4,0.6,0.272727273,0.714285714,0,0.913043478,FALSE,Lightweight,Blue
0.392857143,0,0.0625,0.608695652,0.0625,0.0625,0.538461538,Orthodox,0.085106383,0,0.466666667,0,0,0,0,0.142857143,0,0.086956522,0.555555556,0.25,0,0.608695652,0.25,0.588235294,0.625,Southpaw,0.5,0,0.6,0,0.4,0.2,0.454545455,0.071428571,0,0.434782609,FALSE,Middleweight,Blue
0.642857143,0.4,0,0.652173913,0,0.125,0.615384615,Orthodox,0.063829787,0,1,0,0,0,0,0,0,0,0.555555556,0,0.0625,0.52173913,0.0625,0.117647059,0.583333333,Orthodox,0.079545455,0,0.9,0,0,0,0.090909091,0,0,0.043478261,FALSE,Heavyweight,Blue
0.25,0,0.125,0.347826087,0.125,0,0.5,Orthodox,0.053191489,0,0.133333333,0,0,0,0,0.142857143,0,0.086956522,0.37037037,0,0.0625,0.347826087,0.0625,0.058823529,0.375,Orthodox,0.090909091,0,0.2,0,0,0.2,0,0,0,0.086956522,FALSE,Bantamweight,Blue
0.464285714,0,0.0625,0.565217391,0.0625,0,0.538461538,Switch,0.031914894,0,0.366666667,0,0,0,0.090909091,0,0,0.043478261,0.296296296,0,0.0625,0.47826087,0.0625,0.058823529,0.625,Orthodox,0.056818182,0,0.366666667,0,0,0.1,0,0,0,0.043478261,FALSE,Welterweight,Red
0.5,0,0.0625,0.434782609,0.0625,0,0.576923077,Orthodox,0.031914894,0,0.6,0,0,0.1,0,0,0,0.043478261,0.296296296,0,0.125,0.695652174,0.125,0.058823529,0.75,Orthodox,0.079545455,0,0.6,0,0,0,0.090909091,0.071428571,0,0.086956522,FALSE,LightHeavyweight,Red
0.357142857,0,0.25,0.304347826,0.25,0.25,0.461538462,Southpaw,0.191489362,0,0.2,0,0,0.1,0.363636364,0,0,0.217391304,0.259259259,0,0.25,0.47826087,0.25,0.058823529,0.5,Switch,0.102272727,0,0.133333333,0,0,0.2,0.181818182,0,0,0.173913043,FALSE,Bantamweight,Red
0.535714286,0,0.125,0.47826087,0.125,0.0625,0.615384615,Orthodox,0.053191489,0,0.266666667,0,0,0,0.090909091,0.071428571,0,0.086956522,0.259259259,0.5,0,0.52173913,0,0.117647059,0.583333333,Orthodox,0.068181818,0,0.266666667,0,0,0,0,0,0,0,FALSE,Lightweight,Red
0.535714286,0,0.375,0.695652174,0.375,0.125,0.961538462,Orthodox,0.212765957,0.0625,0.9,0,0,0,0.727272727,0.071428571,0.5,0.434782609,0.703703704,0,0.1875,0.695652174,0.375,0.176470588,0.833333333,Orthodox,0.5,0.4375,0.833333333,0,0,0.5,0.818181818,0,0,0.608695652,TRUE,Heavyweight,Blue
0.428571429,0.2,0,0.47826087,0,0.0625,0.538461538,Orthodox,0.010638298,0,0.366666667,0,0,0,0,0,0,0,0.296296296,0.25,0,0.52173913,0,0.058823529,0.708333333,Orthodox,0.034090909,0,0.366666667,0,0,0,0,0,0,0,FALSE,Welterweight,Blue
0.142857143,0,0.0625,0.130434783,0.0625,0,0.269230769,Southpaw,0.010638298,0,0.066666667,0,0,0,0,0,0.5,0.043478261,0.222222222,0,0.125,0.217391304,0.125,0.176470588,0.125,Orthodox,0.204545455,0,0.066666667,0,0,0.1,0.090909091,0.285714286,0,0.260869565,FALSE,WomenFlyweight,Blue
0.357142857,0.2,0,0.47826087,0.375,0.1875,0.653846154,Orthodox,0.319148936,0,0.366666667,0,0.2,0,0.636363636,0.214285714,0.5,0.52173913,0.703703704,0,0.0625,0.391304348,0.1875,0.352941176,0.583333333,Orthodox,0.534090909,0.375,0.366666667,0.5,0.2,0.1,0.454545455,0.071428571,0,0.391304348,FALSE,Welterweight,Blue
0.25,0.2,0,0.52173913,0.125,0.1875,0.615384615,Southpaw,0.085106383,0,0.6,0,0,0,0.181818182,0,0,0.086956522,0.296296296,0,0.0625,0.652173913,0.0625,0.058823529,0.75,Switch,0.022727273,0,0.6,0,0,0,0.090909091,0,0,0.043478261,FALSE,LightHeavyweight,Blue
0.571428571,0,0.0625,0.391304348,0.0625,0,0.692307692,Orthodox,0.031914894,0,0.466666667,0,0,0.1,0,0,0,0.043478261,0.444444444,1,0,0.565217391,0,0.235294118,0.583333333,Orthodox,0.125,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Red
0.571428571,0,0.125,0.47826087,0.125,0.0625,0.576923077,Orthodox,0.095744681,0,0.2,0,0,0.2,0,0,0,0.086956522,0.296296296,0.25,0,0.347826087,0.125,0.117647059,0.5,Orthodox,0.102272727,0,0.2,0,0,0.1,0.090909091,0,0,0.086956522,FALSE,Featherweight,Blue
0.464285714,0,0.125,0.608695652,0.125,0,0.692307692,Orthodox,0.042553191,0,0.6,0,0.2,0,0.090909091,0,0,0.086956522,0.333333333,0,0.125,0.52173913,0.125,0.117647059,0.583333333,Orthodox,0.193181818,0,0.466666667,0,0.2,0,0.272727273,0,0,0.173913043,FALSE,Middleweight,Red
0.321428571,0.2,0,0.652173913,0.3125,0.125,0.884615385,Orthodox,0.244680851,0,0.466666667,0,0.4,0.1,0.272727273,0.142857143,0,0.347826087,0.666666667,0,0.125,0.565217391,0.3125,0.294117647,0.708333333,Southpaw,0.352272727,0,0.466666667,0,0,0.4,0.636363636,0.071428571,0,0.52173913,FALSE,Middleweight,Red
0.428571429,0.2,0,0.217391304,0.0625,0.0625,0.346153846,Orthodox,0.042553191,0,0.133333333,0,0,0,0,0.071428571,0,0.043478261,0.296296296,0,0.0625,0.304347826,0.0625,0,0.416666667,Orthodox,0.011363636,0,0.133333333,0,0,0,0.090909091,0,0,0.043478261,FALSE,Bantamweight,Red
